Neighborhood Reporting Area,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code
ALLENDALE,"6,643","3,263","6,621",2,22,"1,650","1,613",723,22.20%,6.30%,5.50%,4.40%,2.40%,1.10%,4.20%,15.60%,17.20%,15.00%,7.50%,5.70%,6.80%,5.40%,3.00%,"6,643","3,612","3,263",349,64.10%,5.1,"1,303.50",78757
ANDERSON MILL,"28,473","10,904","28,368",2.6,105,"7,812","3,092","4,037",37.00%,6.20%,7.30%,7.70%,4.80%,2.20%,4.70%,11.70%,15.80%,17.70%,6.50%,5.50%,6.10%,2.80%,1.10%,"28,473","11,507","10,904",603,67.30%,5,"5,706.40",78750
AVERY RANCH--LAKELINE,"14,785","5,681","14,785",2.6,0,"3,878","1,803","2,472",43.50%,11.20%,9.10%,6.70%,3.10%,1.20%,4.50%,20.20%,21.70%,12.10%,3.80%,2.70%,2.70%,0.90%,0.30%,"14,785","6,108","5,681",427,60.50%,3.2,"4,641.40",78717
BARTON CREEK MALL,"5,147","2,076","5,099",2.5,48,"1,359",717,719,34.60%,5.20%,7.10%,8.40%,5.70%,2.00%,4.40%,10.10%,13.70%,17.20%,8.00%,5.90%,4.80%,3.60%,3.80%,"5,147","2,195","2,076",119,63.70%,2.2,"2,318.10",78733
BARTON HILLS,"8,022","4,614","7,890",1.7,132,"1,445","3,169",556,12.10%,3.10%,3.40%,2.90%,1.80%,1.00%,10.70%,29.20%,14.70%,11.50%,6.20%,4.90%,4.80%,3.20%,2.50%,"8,022","4,965","4,614",351,31.40%,3.9,"2,038.10",78704
BERGSTROM,179,0,0,,179,0,0,0,,0.00%,0.00%,0.00%,0.00%,0.00%,14.00%,22.90%,24.00%,25.10%,9.50%,2.80%,1.70%,0.00%,0.00%,179,2,0,2,,0,"4,744.80",78719
BLUFF SPRINGS,"23,000","7,362","23,000",3.1,0,"4,942","2,420","2,981",40.50%,9.80%,9.10%,8.40%,4.90%,3.40%,9.30%,20.10%,14.40%,10.90%,3.90%,2.40%,2.40%,0.80%,0.20%,"23,000","7,947","7,362",585,53.60%,2.7,"8,431.80",78747
BOULDIN,"5,510","2,694","5,468",2,42,"1,024","1,670",489,18.20%,7.90%,5.50%,4.20%,2.60%,1.70%,8.90%,26.40%,17.30%,11.50%,4.50%,3.50%,3.20%,1.70%,1.00%,"5,510","2,949","2,694",255,40.40%,7.1,773.3,78704
BRENTWOOD,"7,513","4,127","7,469",1.8,44,"1,467","2,660",562,13.60%,4.80%,3.40%,2.70%,1.70%,2.00%,10.60%,26.20%,17.90%,13.50%,6.30%,3.70%,3.40%,2.50%,1.40%,"7,513","4,401","4,127",274,40.30%,7.4,"1,013.70",78757
BRODIE LANE,"10,913","4,770","10,884",2.3,29,"2,646","2,124","1,239",26.00%,6.60%,5.70%,4.90%,3.30%,2.10%,7.40%,23.50%,16.00%,15.30%,5.90%,4.00%,3.20%,1.60%,0.40%,"10,913","4,939","4,770",169,58.40%,5.7,"1,920.30",78748
BULL CREEK,"7,655","3,409","7,574",2.2,81,"2,155","1,254",867,25.40%,5.40%,6.20%,5.50%,3.60%,1.00%,3.00%,9.00%,13.50%,17.10%,8.70%,7.00%,10.20%,6.50%,3.30%,"7,655","3,606","3,409",197,76.20%,3.4,"2,247.30",78757
CENTRAL EAST AUSTIN,"4,677","1,874","4,421",2.4,256,819,"1,055",389,20.80%,7.20%,5.60%,4.90%,2.80%,5.20%,12.80%,23.50%,13.10%,10.50%,4.30%,2.80%,3.40%,2.90%,1.00%,"4,677","2,102","1,874",228,37.50%,7.5,624.8,78702
CENTRAL WEST AUSTIN,"10,522","4,490","10,139",2.3,383,"2,501","1,989","1,300",29.00%,7.50%,7.00%,5.80%,2.90%,1.00%,5.00%,18.70%,15.30%,14.10%,6.40%,5.60%,6.10%,3.30%,1.50%,"10,522","4,891","4,490",401,58.90%,5.2,"2,025.50",78703
CHERRY CREEK,"20,143","8,449","20,000",2.4,143,"4,867","3,582","2,147",25.40%,6.60%,5.40%,5.20%,3.10%,2.10%,7.40%,21.10%,15.80%,13.80%,6.30%,4.60%,5.00%,2.50%,1.20%,"20,143","8,842","8,449",393,59.00%,7.1,"2,854.40",78745
CHESTNUT,"1,777",678,"1,647",2.4,130,310,368,115,17.00%,5.00%,4.40%,3.70%,2.30%,2.50%,13.30%,27.20%,17.20%,9.60%,4.70%,2.80%,3.00%,2.80%,1.60%,"1,777",765,678,87,53.40%,9.8,180.5,78702
CIRCLE C SOUTH,"12,802","4,016","12,802",3.2,0,"3,575",441,"2,362",58.80%,10.20%,12.30%,8.90%,4.20%,1.30%,2.10%,9.30%,22.30%,15.10%,4.90%,3.90%,3.70%,1.50%,0.30%,"12,802","4,121","4,016",105,94.80%,4,"3,232.80",78739
CORONADO HILLS,"3,546","1,283","3,544",2.8,2,766,517,426,33.20%,13.50%,8.40%,4.30%,2.40%,2.60%,10.40%,21.90%,12.90%,8.90%,4.20%,3.00%,3.80%,2.70%,0.80%,"3,546","1,390","1,283",107,30.20%,10,356.3,78752
CRESTVIEW,"3,927","1,945","3,786",1.9,141,883,"1,062",355,18.30%,6.30%,4.20%,2.50%,1.70%,0.90%,5.10%,22.60%,19.00%,13.40%,5.90%,4.50%,4.70%,6.00%,3.30%,"3,927","2,297","1,945",352,61.30%,6,652.8,78757
DAVENPORT--LAKE AUSTIN,"5,161","1,996","5,104",2.6,57,"1,403",593,739,37.00%,4.80%,8.50%,9.20%,5.90%,1.90%,2.50%,7.90%,16.10%,17.90%,8.30%,7.40%,6.40%,2.50%,0.60%,"5,161","2,223","1,996",227,73.70%,1.2,"4,245.50",78746
DAWSON,"2,670","1,273","2,670",2.1,0,491,782,184,14.50%,6.10%,4.10%,3.30%,1.50%,1.60%,12.90%,26.00%,16.00%,11.90%,4.10%,3.70%,4.70%,2.80%,1.40%,"2,670","1,420","1,273",147,37.20%,8.5,315.2,78704
DECKER LAKE,326,94,326,3.5,0,83,11,56,59.60%,14.40%,12.30%,9.50%,3.40%,2.80%,5.20%,16.90%,16.90%,8.60%,1.50%,4.60%,2.50%,1.20%,0.30%,326,103,94,9,80.90%,0,"6,866.50",78724
DEL VALLE,"3,520",996,"3,520",3.5,0,735,261,466,46.80%,11.90%,11.60%,9.10%,5.40%,2.80%,6.70%,16.40%,12.50%,11.50%,3.50%,2.30%,3.80%,2.10%,0.50%,"3,520","1,101",996,105,47.80%,1,"3,568.60",78617
DEL VALLE EAST,"7,526","2,004","7,526",3.8,0,"1,712",292,"1,183",59.00%,10.60%,11.40%,11.20%,6.00%,2.70%,6.30%,18.70%,16.80%,9.80%,2.70%,1.90%,1.30%,0.50%,0.10%,"7,526","2,148","2,004",144,87.80%,1.7,"4,415.70",78617
DITTMAR--SLAUGHTER,"15,697","6,333","15,606",2.5,91,"3,666","2,667","1,708",27.00%,7.20%,6.00%,5.60%,3.60%,2.30%,7.90%,20.70%,15.60%,14.10%,6.00%,4.50%,4.00%,1.70%,0.60%,"15,697","6,644","6,333",311,57.70%,6.2,"2,531.90",78745
DOWNTOWN,"7,635","4,379","6,357",1.5,"1,278",908,"3,471",159,3.60%,1.50%,1.00%,0.80%,0.40%,1.60%,11.70%,33.60%,17.90%,14.30%,5.50%,4.60%,4.10%,2.10%,0.90%,"7,635","5,670","4,379","1,291",33.30%,6.8,"1,117.20",78701
EAST CESAR CHAVEZ,"3,291","1,349","3,083",2.3,208,595,754,225,16.70%,6.10%,4.50%,4.60%,3.00%,1.90%,6.70%,21.20%,14.10%,13.10%,5.50%,4.80%,6.80%,5.30%,2.40%,"3,291","1,482","1,349",133,41.10%,7.6,430.8,78702
EAST CONGRESS,"3,104","1,374","3,100",2.3,4,610,764,246,17.90%,6.00%,4.30%,4.40%,3.00%,1.90%,12.50%,24.60%,13.60%,11.90%,5.50%,4.50%,5.40%,1.70%,0.80%,"3,104","1,446","1,374",72,50.30%,4,771.9,78704
EAST OAK HILL,"14,508","6,974","14,398",2.1,110,"3,455","3,519","1,615",23.20%,5.50%,5.60%,5.60%,2.90%,1.50%,7.20%,23.10%,14.70%,13.70%,6.30%,4.90%,4.40%,2.70%,1.80%,"14,508","7,389","6,974",415,40.80%,2.9,"5,042.20",78735
FOUR POINTS,"6,226","3,087","6,017",1.9,209,"1,287","1,800",686,22.20%,5.70%,5.90%,4.90%,2.30%,4.10%,12.30%,25.50%,15.00%,12.90%,4.20%,3.10%,2.80%,1.00%,0.30%,"6,226","3,339","3,087",252,16.00%,1.3,"4,980.60",78730
FRANKLIN PARK,"16,927","4,313","16,914",3.9,13,"3,507",806,"2,226",51.60%,11.50%,10.20%,9.50%,5.50%,3.60%,9.30%,17.20%,13.50%,10.10%,3.50%,2.50%,2.50%,1.00%,0.10%,"16,927","4,507","4,313",194,45.00%,11.8,"1,428.50",78744
GALINDO,"3,512","1,745","3,489",2,23,640,"1,105",274,15.70%,5.40%,5.00%,4.70%,2.50%,2.00%,8.90%,26.80%,16.20%,12.60%,4.80%,4.10%,3.90%,2.40%,0.80%,"3,512","1,864","1,745",119,33.80%,8.1,433.5,78704
GARRISON PARK,"11,748","5,083","11,725",2.3,23,"2,637","2,446","1,124",22.10%,6.60%,5.50%,5.00%,2.90%,2.00%,9.00%,23.20%,14.40%,12.60%,5.50%,4.40%,5.20%,3.20%,0.70%,"11,748","5,581","5,083",498,48.70%,8.7,"1,357.80",78745
GATEWAY,"1,121",748,"1,121",1.5,0,168,580,52,7.00%,4.20%,1.60%,0.30%,0.50%,0.50%,14.10%,48.90%,15.10%,6.60%,3.80%,2.50%,1.00%,0.40%,0.40%,"1,121",815,748,67,0.00%,2.3,484.7,78759
GEORGIA ACRES,"8,559","3,128","8,557",2.7,2,"1,783","1,345","1,111",35.50%,11.80%,8.30%,6.00%,3.20%,2.90%,11.10%,20.90%,14.60%,11.00%,3.80%,2.60%,2.40%,1.20%,0.30%,"8,559","3,763","3,128",635,14.80%,12.7,676.2,78753
GOVALLE,"4,006","1,385","3,913",2.8,93,837,548,334,24.10%,6.60%,5.70%,5.50%,4.10%,2.50%,6.80%,17.00%,13.60%,12.60%,5.20%,5.30%,8.20%,5.10%,1.70%,"4,006","1,523","1,385",138,57.80%,4,"1,004.80",78702
GRACY WOODS,"28,220","12,659","28,021",2.2,199,"6,564","6,095","2,977",23.50%,7.30%,5.40%,4.30%,2.60%,2.10%,8.90%,24.60%,14.80%,13.20%,5.90%,3.90%,3.90%,2.00%,1.10%,"28,220","13,330","12,659",671,44.20%,6.4,"4,412.60",78758
HANCOCK,"4,662","2,466","4,628",1.9,34,552,"1,914",194,7.90%,2.40%,2.20%,1.40%,1.00%,2.70%,38.30%,25.90%,8.40%,7.10%,3.60%,2.70%,2.90%,1.10%,0.50%,"4,662","2,710","2,466",244,23.90%,8.6,540.2,78751
HARRIS BRANCH,"3,432","1,136","3,432",3,0,889,247,477,42.00%,9.90%,8.10%,6.90%,3.80%,1.70%,5.00%,19.30%,16.80%,14.80%,5.20%,3.60%,3.10%,1.60%,0.30%,"3,432","1,192","1,136",56,89.10%,1.5,"2,294.60",78754
HAYS WARTHA,2,1,2,2,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,2,1,1,100.00%,0,"1,796.30",78756
HERITAGE HILLS,"5,853","1,938","5,850",3,3,"1,280",658,821,42.40%,12.60%,10.80%,6.40%,3.20%,2.10%,10.70%,21.20%,12.40%,8.70%,3.70%,2.90%,3.40%,1.20%,0.50%,"5,853","2,186","1,938",248,34.80%,6.8,864.8,78753
HIGHLAND,"4,225","1,910","4,225",2.2,0,873,"1,037",347,18.20%,6.30%,4.40%,3.90%,2.10%,2.00%,8.60%,22.90%,18.60%,13.10%,6.20%,3.70%,4.20%,3.20%,0.80%,"4,225","2,091","1,910",181,47.70%,5.1,832.4,78752
HIGHLAND PARK,"3,907","1,647","3,889",2.4,18,"1,123",524,477,29.00%,5.40%,6.80%,7.10%,3.50%,1.30%,2.70%,7.90%,14.70%,16.70%,10.00%,7.60%,8.50%,4.90%,2.90%,"3,907","1,741","1,647",94,89.60%,2,"1,935.40",78731
HOLLY,"3,987","1,506","3,965",2.6,22,841,665,381,25.30%,7.80%,6.80%,6.30%,3.70%,2.40%,8.00%,20.60%,15.70%,10.40%,4.70%,3.80%,4.70%,3.40%,1.70%,"3,987","1,645","1,506",139,50.10%,8.7,459.7,78702
HYDE PARK,"5,894","3,387","5,859",1.7,35,808,"2,579",333,9.80%,3.70%,3.00%,1.80%,1.10%,2.00%,25.00%,29.60%,12.90%,9.20%,4.60%,2.80%,2.50%,0.90%,0.80%,"5,894","3,594","3,387",207,26.30%,12.7,465.1,78751
JESTER,"4,974","2,329","4,974",2.1,0,"1,298","1,031",573,24.60%,5.30%,5.20%,6.20%,3.50%,1.30%,5.40%,16.30%,16.10%,18.10%,7.90%,5.80%,5.50%,2.80%,0.50%,"4,974","2,549","2,329",220,57.50%,1.3,"3,795.10",78750
JOHNSTON TERRACE,"1,854",599,"1,854",3.1,0,381,218,193,32.20%,9.80%,9.10%,7.70%,3.60%,3.50%,6.20%,18.90%,15.00%,11.10%,3.50%,3.90%,4.90%,2.40%,0.50%,"1,854",654,599,55,60.10%,2.9,640.3,78721
JOLLYVILLE,"19,103","9,067","19,086",2.1,17,"4,824","4,243","2,163",23.90%,5.50%,5.50%,5.70%,3.00%,1.30%,6.10%,18.00%,16.90%,16.20%,7.00%,5.30%,5.40%,2.70%,1.40%,"19,103","9,539","9,067",472,49.30%,5.2,"3,702.50",78729
LBJ,"2,624",794,"2,624",3.3,0,612,182,335,42.20%,9.80%,9.50%,10.20%,5.80%,3.40%,8.00%,15.40%,12.30%,10.70%,4.70%,3.60%,4.30%,1.80%,0.60%,"2,624",841,794,47,39.70%,1.6,"1,632.50",78724
MANSFIELD--RIVER PLACE,"8,545","3,491","8,545",2.4,0,"2,302","1,189","1,168",33.50%,7.20%,8.30%,7.70%,3.40%,1.00%,3.10%,11.90%,18.30%,17.90%,7.10%,6.00%,6.00%,1.70%,0.50%,"8,545","3,892","3,491",401,71.00%,0.9,"9,993.00",78734
MCKINNEY,"4,369","1,230","4,285",3.5,84,937,293,554,45.00%,9.50%,9.50%,7.60%,5.40%,3.00%,7.90%,19.60%,15.70%,12.30%,3.80%,2.40%,2.20%,0.70%,0.50%,"4,369","1,297","1,230",67,64.20%,2.8,"1,544.60",78747
